Restaurant Name,Aggregate rating,Votes,correl,
Red Mesa Restaurant,4.5,1203,,
Out Of The Box,4,1203,,
The Lady & Sons,3.3,1201,,
Smoke House Deli,4.1,1199,,
Evergreen Sweet House,3.5,1198,,
7 Degrees Brauhaus,4.2,1193,,
Khan Chacha,3.7,1189,,
Town Hall,3.8,1186,,
Berco's,3.7,1182,,
Jungle Jamboree,3.8,1174,,
Lemongrass,4,1159,,
Hillstone,4.4,1158,,
Open House Cafe,3.8,1158,,
Havemore,4.1,1157,,
'Ohana,4.5,1151,,
Haldiram's,3.9,1151,,
TGI Friday's,3.5,1147,,
The Little Next Door,4.1,1143,,
Nini's Kitchen,4.5,1138,,
Cafeteria & Co.,4.6,1136,,
Rajdhani Thali Restaurant,3.6,1134,,
HotMess,4.3,1129,,
What's Up,4,1126,,
Whipped,4.2,1125,,
Replay,4.3,1121,,
Martin's Corner,4.4,1115,,
Centro,4.5,1109,,
Hoppipola,4.2,1103,,
Castle 9,3.1,1099,,
The Urban Foundry,4.5,1099,,
Transmetropolitan,4.4,1098,,
My Bar Square,2.5,1096,,
Smoke House Deli,4,1093,,
Legends Barbeques,3.9,1088,,
Veda,3.9,1087,,
Lanterns Kitchen & Bar,3.8,1082,,
Yard House,4.6,1078,,
Zizo,3.9,1071,,
Spezia Bistro,4.6,1071,,
Silantro Fil-Mex,4.9,1070,,
Barbeque Nation,4.7,1069,,
Raasta,3.8,1065,,
Flame & Grill,3.9,1064,,
The Beer Cafe,3.6,1058,,
Grandson of Tunday Kababi,4.9,1057,,
Hula Grill,4.3,1056,,
RollsKing,4,1055,,
Sutra Gastropub,3.8,1046,,
Starbucks,4.9,1042,,
Yanki Sizzlers,4.1,1041,,
Ocean Grill,3.6,1040,,
Ceviz A??ac?,4.2,1034,,
Coast Cafe,4.5,1033,,
Zen,3.5,1027,,
Hickory Park,4.5,1025,,
The Wolfpack,4.1,1024,,
Con?_u,4.8,1023,,
Pirates of Grill,4,1022,,
Pind Balluchi,3.4,1022,,
The Moon Under Water,4.1,1020,,
Teddy Boy,3.9,1020,,
Mrs. Wilkes' Dining Room,4.5,1014,,
Ceviche Tapas Bar & Restaurant,4.4,1007,,
Bistro 37,4.3,1005,,
Ciclo Cafe,4.1,1004,,
Tales & Spirits,4.1,997,,
Ceviche Tapas Bar & Restaurant,4.1,986,,
TGI Friday's,3.7,984,,
Flechazo,4.4,983,,
Pal Dhaba,3.8,982,,
Cev?_che Tapas Bar & Restaurant,4.4,981,,
California Pizza Kitchen,3.7,980,,
Chili's,4.3,970,,
Matchbox,4,969,,
Bikanervala,3.8,966,,
Dishoom,4.7,964,,
Caffe 9,4.2,961,,
Asia Kitchen by Mainland China,4.6,945,,
Mocha,4.4,944,,
Zombie Burger + Drink Lab,4.2,943,,
Barbeque Nation,4.1,937,,
The Farm,3.9,927,,
BellaBrava,4.1,921,,
Souza Lobo,4.3,918,,
Sr. Sol 1,4.6,917,,
The Forresta Kitchen & Bar,4,916,,
The Big Chill Cakery,4.4,912,,
St. Anthony's,3.8,911,,
TGI Friday's,4,911,,
Bahama Breeze Island Grille,4.3,910,,
Farzi Cafe,4.5,909,,
Zaffran,3.9,908,,
Green Truck Pub,4.7,906,,
The Grand Marlin,4.3,905,,
Union Deli,4.6,903,,
A???k Kahve,4,901,,
Global Grill,4.4,900,,
Licorish Bistro,4.6,892,,
Vintage Machine,4.3,887,,
Maggiano's Little Italy,4.4,886,,
Pebble Street,3.9,886,,
The English Department Bar & Diner,3.9,885,,
Moonshine Cafe & Bar,3.5,884,,
The Crab Shack,3.8,883,,
Karnataka Food Centre,4.1,881,,
Leopold's Ice Cream,4.6,880,,
Bardenay,4.5,879,,
Goldy's Breakfast Bistro,4.5,879,,
Kesar Da Dhabha,4.1,878,,
Caf?? MRP,3.6,877,,
Emirgan S?_ti??,4.2,877,,
The Refinery,4,875,,
Mamagoto,4.1,875,,
Le Cafe,3.1,875,,
Aloha Mixed Plate,4.2,874,,
Valonia,4.2,874,,
Cafe Dalal Street,3.7,873,,
Satoo - Hotel Shangri-La,4.6,873,,
Pita Pit,3.9,870,,
Baltazar,4.3,870,,
Farzi Cafe,4.3,868,,
Amici Cafe,3.8,863,,
Hudsons,4,861,,
Miyabi 9,4.8,860,,
Jonathan's Kitchen - Holiday Inn Express & Suites,4.3,860,,
AB's - Absolute Barbecues,4.9,859,,
Fat Fish,4.2,856,,
Gola Sizzlers,3.5,853,,
Mama's Boy Restaurant,4.5,849,,
Conch Republic Grill,4.5,844,,
On The House,4.4,843,,
Culinaire,3.8,843,,
Hops n Grains,4.2,843,,
Palmshore,4.2,841,,
Desi Vibes,3.9,841,,
Art of Spices,4,841,,
Zenbu,4.4,841,,
Ritz Classic,4.5,840,,
38 Barracks,4.4,840,,
Cafe Public Connection,3.7,834,,
Burbee's Cafe,3.7,833,,
Tu-Do Vietnamese Restaurant,4.5,828,,
Gastronomica Kitchen & Bar,4.1,826,,
