is chain,Yes,
,,
Restaurant Name,Average of Aggregate rating,Average of Votes
Ram Chinese Food,3,16
New Madras Cafe,1.966666667,15.66666667
Dilli Rasoi,1.6,15.5
34 Parkstreet Lane,3.05,15.5
The Chef,2.95,15.5
China Hot Pot,2.75,15.5
Wah G Wah,1.766666667,15.33333333
Baskin Robbins,1.860714286,15.28571429
Evergreen Sweets,2.7,15
Twenty Four Seven,2.147368421,14.73684211
The Mirch Masala,3.1,14.5
Sagar Dhaba,1.55,14.5
Anupam Sweets,2.55,14.5
Amritsari Dhaba,3.05,14
Chawlas 2,1.5,14
Mom's Kitchen,1.75,14
Shree Bikaner Misthan Bhandar,3,13.8
Kings Kulfi,2.266666667,13.66666667
Rajshree,3.2,13.5
The China Town,1.7,13.5
Cake 24x7,1.65,13.5
Organic Express,3.2,13.5
Health Buzzz,3.133333333,13.33333333
Bikaner Kesarvala,1.6,13
Papa Buns,1.8,13
WTF - World's Tastiest Food,2.4,13
Nirula's Ice Cream,2.4,13
Republic of Chicken,2.422222222,13
Vaishno Rasoi,1.3,13
Juice Lounge,1.7,13
Ovenstory Pizza,2.5,12.5
Sardar A Pure Meat Shop,1.722222222,12.44444444
Breaktym,2.766666667,12.33333333
Crust N Cakes,3.3,12
Sadda Adda,1.75,12
Aggarwal's Sweets Paradise,2.8,12
Pasta Hub,3.05,11.5
Khan Chicken Biryani,2.9,11.5
Mr. Baker's,1.5,11.5
South Indian Hut,1.575,10.75
Garden Hut,2.9,10.5
Syall Kotian Da Dhaba,1.5,10
Cake Point,1.74,9.8
China Town,2.028571429,9.714285714
Faasos,2.9375,9.625
Green Chilli,1.4,9.5
U Like,1.5,9.5
Mr. Momo,1.35,9.5
Biryani Vice,1.8,9.5
Pizza Station,2.166666667,9.333333333
Tandoori Tadka,1.65,9
Chai Mantra,1.6,9
Royale Bakers,1.4,9
Frontier,2.828571429,8.928571429
Puja Sandwich House,1.35,8.5
The Pirates Of China Town,1.6,8.5
Aapki Rasoi,1.525,8.5
Niti Shake & Ice Cream Hub,1.266666667,8.333333333
Aggarwal Sweet Corner,1.26,8.2
Food Plaza,1.066666667,8
Zaika Kathi Rolls,1.5,8
Dilli Light,1.3,8
Hunger's Hub,1.55,8
Shama Chicken Corner,1.077777778,7.666666667
Food Factory,1.5,7.5
Snack Shack,1.35,7.5
Chennai Express,1.6,7.5
Bikaner's,2.65,7.5
Dosa Plaza,1.6,7.5
Bakingo,2.85,7.5
Choco Kraft,1.6,7
Balaji Dhaba,1.35,7
Wild Chef House,1.55,7
KC Bakers,1.6,7
Aggarwal Sweet India,1.7,7
Rolling Beans,2.8,7
Roll Corner,1.65,7
Chinese Food,2,7
Bikaner Sweets,1.338461538,6.769230769
Chinese Food Corner,0.833333333,6.666666667
Amar Bakery,1.65,6.5
Tandoori Junction,1.2,6.5
Pastry Palace,1.6,6.5
Brown Town,1.35,6.5
Punjabi's Veg Grill,2.3,6.25
Tpot,0.971428571,6.142857143
Lazeez Restaurant,1.5,6
Magic Masala,1.5,6
