unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
 Tea,American, Mediterranean, Seafood,,,0,23,4,0,27,,,28%
 Modern Australian,Italian, Pizza,,,,0,4,4,0,8,,,8%
 Australian,Mexican,,,,,0,3,1,0,4,,,4%
 German,American, Breakfast, Burger,,,0,3,1,1,5,,,5%
 Fusion,American, BBQ, Burger,,,0,2,1,0,3,,,3%
 Cuban,Indian,,,,,0,1,0,0,1,,,1%
 Greek,Chinese, Sushi, Thai,,,0,5,1,2,8,,,8%
 Cajun,Chinese,,,,,0,2,6,0,8,,,8%
 Turkish,American, Italian, Pizza,,,0,5,3,0,8,,,8%
 Fast Food,Indian,,,,,0,820,385,77,1282,,,1342%
 Persian,Burger,,,,,0,1,0,0,1,,,1%
 Hawaiian,American, Breakfast, Burger,,,0,1,2,0,3,,,3%
 Continental,Breakfast, Diner,,,,0,245,193,50,488,,,511%
 Deli,American, International, Sushi,,,0,1,0,1,2,,,2%
 Middle Eastern,Pizza,,,,,0,6,10,1,17,,,18%
 North Indian,International,,,,,0,687,191,65,943,,,987%
 South Indian,American, Breakfast,,,,0,219,123,25,367,,,384%
 Afghani,Mediterranean, Tapas, Vegetarian,,,0,4,2,1,7,,,7%
 Rajasthani,BBQ,,,,,0,10,1,3,14,,,15%
 Indian,Pizza, Sandwich,,,,0,9,4,4,17,,,18%
 Mughlai,Japanese, Sushi,,,,0,635,124,16,775,,,811%
 Portuguese,American, Breakfast, Desserts,,,0,1,1,0,2,,,2%
 Gujarati,Asian, Japanese,,,,0,1,2,0,3,,,3%
 Street Food,Asian, Vietnamese,,,,0,216,42,59,317,,,332%
 Beverages,American, Seafood, Cajun,,,0,92,33,11,136,,,142%
 Biryani,American,,,,,0,42,15,6,63,,,66%
 Hyderabadi,Burger, Bar Food, Southern,,,0,10,4,2,16,,,17%
 Charcoal Grill,Pizza, Bar Food,,,,0,1,1,1,3,,,3%
 Chettinad,Japanese, Steak,,,,0,4,1,2,7,,,7%
 Goan,Breakfast, Diner, Southern,,,0,2,5,1,8,,,8%
 Belgian,Japanese, Steak, Sushi,,,0,1,0,1,2,,,2%
 Burmese,Japanese, Sushi, Thai,,,0,1,1,2,4,,,4%
 Salad,Seafood, Steak, Vegetarian,,,0,12,70,7,89,,,93%
 African,Steak,,,,,0,6,0,0,6,,,6%
 Iranian,Chinese,,,,,0,3,0,0,3,,,3%
 Juices,BBQ, Southern,,,,0,10,6,1,17,,,18%
 Mithai,Italian, Pizza,,,,0,42,21,26,89,,,93%
 Lebanese,Pizza,,,,,0,11,13,6,30,,,31%
 Lucknowi,American, Tapas,,,,0,7,0,0,7,,,7%
 Tibetan,Asian, Chinese,,,,0,13,5,3,21,,,22%
 Finger Food,American,,,,,0,7,13,7,27,,,28%
 Nepalese,Italian, Mediterranean, Pizza,,,0,3,1,1,5,,,5%
 Pakistani,American, Seafood, Steak,,,0,3,1,0,4,,,4%
 Kerala,Chinese, Canadian,,,,0,5,2,0,7,,,7%
 Assamese,American, BBQ, Southern,,,0,1,0,0,1,,,1%
 Andhra,Desserts, Sandwich,,,,0,4,1,1,6,,,6%
 Awadhi,BBQ,,,,,0,2,4,0,6,,,6%
 Mangalorean,Mexican, Tex-Mex,,,,0,3,0,1,4,,,4%
 Maharashtrian,BBQ, Breakfast, Southern,,,0,3,0,0,3,,,3%
 Indonesian,American,,,,,0,6,0,2,8,,,8%
 Kashmiri,Japanese, Sushi,,,,0,4,3,0,7,,,7%
 Bengali,Mexican,,,,,0,4,4,3,11,,,12%
 Naga,Italian,,,,,0,1,0,1,2,,,2%
 British,American, Burger,,,,0,2,1,0,3,,,3%
 Raw Meats,Fast Food,,,,,0,1,2,1,4,,,4%
 Modern Indian,Mexican,,,,,0,1,0,1,2,,,2%
 Western,American, Japanese, Sushi,,,0,4,3,1,8,,,8%
 Kiwi,Japanese,,,,,0,5,0,0,5,,,5%
 Pub Food,Thai,,,,,0,1,0,0,1,,,1%
 Fish and Chips,Desserts, Sandwich,,,,0,1,0,0,1,,,1%
 Scottish,BBQ,,,,,0,2,0,0,2,,,2%
 Dim Sum,American, Diner, Southern,,,0,2,0,1,3,,,3%
 Contemporary,American, BBQ, Southern,,,0,3,1,0,4,,,4%
 Curry,Italian, Pizza,,,,0,2,3,1,6,,,6%
 Patisserie,Indian, Mediterranean, Middle Eastern,,,0,3,0,0,3,,,3%
